Date,Botswana GDP,World GDP
12/31/1960,60,452.0543961
12/31/1961,64,463.9899528
12/31/1962,68,489.4822436
12/31/1963,71,516.5451731
12/31/1964,76,554.4821253
12/31/1965,82,591.6532557
12/31/1966,90,628.6541015
12/31/1967,100,655.7967741
12/31/1968,111,693.853421
12/31/1969,127,749.642687
12/31/1970,153,803.7747861
12/31/1971,196,870.2285792
12/31/1972,248,984.274691
12/31/1973,354,1177.7926
12/31/1974,428,1332.440053
12/31/1975,479,1456.790024
12/31/1976,483,1556.422579
12/31/1977,564,1729.04357
12/31/1978,709,2004.555656
12/31/1979,948,2288.01393
12/31/1980,1182,2531.733182
12/31/1981,1154,2575.654446
12/31/1982,1054,2506.307839
12/31/1983,1177,2512.130837
12/31/1984,1203,2560.013809
12/31/1985,1042,2642.764347
12/31/1986,1254,3068.740008
12/31/1987,1702,3430.327619
12/31/1988,2204,3770.929296
12/31/1989,2478,3868.816112
12/31/1990,2946,4283.02862
12/31/1991,2973,4462.356009
12/31/1992,3041,4665.873836
12/31/1993,2973,4667.365466
12/31/1994,2970,4937.515011
12/31/1995,3220,5409.541395
12/31/1996,3222,5450.082612
12/31/1997,3259,5353.829221
12/31/1998,3040,5270.017965
12/31/1999,3406,5392.863196
12/31/2000,3522,5493.36143
12/31/2001,3278,5392.015342
12/31/2002,3191,5527.815618
12/31/2003,4331,6124.664402
12/31/2004,5074,6812.777788
12/31/2005,5520,7287.851758
12/31/2006,5516,7803.507387
12/31/2007,5833,8685.103775
12/31/2008,5714,9413.745824
12/31/2009,5256,8820.946091
12/31/2010,6435,9541.597373
12/31/2011,7617,10479.57462
12/31/2012,7878,10595.54578
12/31/2013,7225,10771.83457
12/31/2014,7781,10935.35963
12/31/2015,6800,10225.50798
12/31/2016,7244,10258.00662
12/31/2017,7894,10780.81315
12/31/2018,7973,11317.27058
12/31/2019,7859,
12/31/2020,8116,
